Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Gantt End to Start),Inward issue link (Gantt End to Start),Inward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Inward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Applicability),Custom field (Assignee multiple users),Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Begin Date),Custom field (Build),Custom field (CPN),Custom field (CPU Impact),Custom field (Change Impact Analysis),Custom field (Closure Evidence),Custom field (Closure Rationale),Custom field (Closure date),Custom field (Company),Custom field (Conditions),Custom field (Configuration requirements),Custom field (Cost Impact (suppliers)),Custom field (Creation date),Custom field (Cucumber Scenario),Custom field (Cucumber Test Type),Custom field (Customer Impact),Custom field (DO Approval Assignee),Custom field (DO Approval Comment),Custom field (DO Approval Status),Custom field (DO Delivery date),Custom field (Dataset values),Custom field (Defect Impact),Custom field (Defect Impact Rationale),Custom field (Delivery date),Custom field (Delivery folder),Custom field (Design Review Assignee),Custom field (Design Review Comment),Custom field (Design Workload),Custom field (Documents Impacted),Custom field (Domain Leader),Custom field (Done Status),Custom field (End Date),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Escalated To),Custom field (Estimated Workload),Custom field (Event),Custom field (Expect Implementation Target),Custom field (Exported end date),Custom field (External Review Comment),Custom field (External Review Participants),Custom field (External Supplier),Custom field (External end date),Custom field (External issue ID),Custom field (FTR N°),Custom field (Failure Test cases),Custom field (Flagged),Custom field (Generic Test Definition),Custom field (HQ acceptance),Custom field (HQ/Laws Assignee),Custom field (HQ/Laws Justifications),Custom field (IOM/CRDC standards List),Custom field (IRO),Custom field (IVV State),Custom field (IVV Table),Custom field (Impact type),Custom field (Industrial Impact),Custom field (Interface(s) Impact),Custom field (Interfaces Impacted),Custom field (LTM Defect Id),Custom field (LTM Test Id),Custom field (Lab Assignee),Custom field (Lab Limitations),Custom field (Load Status),Custom field (Loads/Flutter Assignee),Custom field (Loads/Flutter Justifications),Custom field (Manual Test Steps),Custom field (Maturity Test Objective),Custom field (Maturity Test Priority),Custom field (Milestone / target for implementation),Custom field (Mixability),Custom field (Module Description),Custom field (Module N°),Custom field (Module Review Comments),Custom field (Module Review Participants),Custom field (Multi-Program Impact),Custom field (Number of BITE),Custom field (Number of CM),Custom field (Number of IO),Custom field (Number of Seq),Custom field (Number of Sheets),Custom field (OASIS Milestone),Custom field (OASIS Standard Name),Custom field (OASIS System / Function),Custom field (OPR Associated ACL),Custom field (OPR Description),Custom field (OPR Operational effect),Custom field (OPR Safety effect),Custom field (Offerability Impact),Custom field (OldIssueKey),Custom field (Origin),Custom field (Original story points),Custom field (PCFU - Multi Select Test),Custom field (PCFU - Multiple Autocomplete Test),Custom field (Parent Link),Custom field (Performance Impact),Custom field (Pin Programming),Custom field (Planning Impact),Custom field (Pre-Condition Type),Custom field (Pre-Conditions association with a Test),Custom field (Program Increment),Custom field (Program Rebaselining),Custom field (Progress Status),Custom field (Proofreading Assignee),Custom field (Proofreading Comment),Custom field (Proofreading Status),Custom field (Quality Impact),Custom field (Rank),Custom field (Ready Status),Custom field (Reason),Custom field (Ref - Issue),Custom field (Report),Custom field (Required input(s)),Custom field (Requirement ID),Custom field (Requirement Impact),Custom field (Resolved by),Custom field (Review Assignee),Custom field (Review Comment),Custom field (Revision),Custom field (Risk Description),Custom field (Risk Mitigation),Custom field (Risk Owner),Custom field (Safety Aspects),Custom field (Safety Design Analysis),Custom field (Safety Review Assignee),Custom field (Safety Review Comment),Custom field (Services Impact),Custom field (Severity),Sprint,Custom field (Start date),Custom field (States Number),Custom field (Steps Count),Custom field (Story Points),Custom field (Subcontractor Review Assignee),Custom field (Subcontractor Review Comments),Custom field (Suppliers Impact),Custom field (System Assignee),Custom field (System Justifications),Custom field (System Tools Status),Custom field (System requirements),Custom field (Target end),Custom field (Target start),Custom field (Task progress),Custom field (Team),Custom field (Team),Custom field (Test Configuration),Custom field (Test Count),Custom field (Test Environments),Custom field (Test Execution Defects),Custom field (Test Execution Status),Custom field (Test Plan),Custom field (Test Plan Status),Custom field (Test Plan Tests Filter),Custom field (Test Plans associated with a Test),Custom field (Test Repository Path),Custom field (Test Results),Custom field (Test Set Status),Custom field (Test Sets association with a Test),Custom field (Test Type),Custom field (TestRunStatus),Custom field (Tests Status),Custom field (Tests associated with a Test Plan),Custom field (Tests association with a Pre-Condition),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Set),Custom field (Textual Requirement To Supplier),Custom field (Total Time Spent),Custom field (TrackDev JCR Id),Custom field (TrackDev JTE Id),Custom field (V&V Review Comment),Custom field (V&V Review Participants),Custom field (V&V date),Custom field (Validation Impact),Custom field (Verification Impact),Custom field (Verification Impact Analysis),Custom field (gitBranch),Custom field (gitBranchName),Custom field (gitCommitsReferenced),Custom field (gitMergeCheck),Custom field (gitVersion),Comment
Magic 1.9.0,SST1-8,449708,Task,To Do,SST1,SLM System team,software,YMEZEPKE,,,Medium,,,YMEZEPKE,YMEZEPKE,07/Apr/26 12:00 AM,07/Apr/26 12:03 AM,26/Jun/26 10:03 AM,,,,,,#milestone,,,,,0,0,,0%,0,0,,,,,,,,,,,,07/Apr/26 12:00 AM,07/Apr/26 12:00 AM,,yes,,,,,,,,,,,07/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,03/Apr/26 12:00 AM,,,,,,,,,03/Apr/26 12:00 AM,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1o99g:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,03/Apr/26 12:00 AM,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":449708,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
Computed Applicabilities,SST1-39,450033,Task,To Do,SST1,SLM System team,software,YMEZEPKE,,,Yellow,,,YMEZEPKE,YMEZEPKE,08/Apr/26 4:18 PM,08/Apr/26 4:21 PM,21/May/26 8:42 AM,,,,,,,"Adapt to SimBa:
 * No more computation by VVATT
 * Parse new data in SimBa files",,,,,,,,,,,,,,,,SST1-38,,,,,08/Apr/26 12:00 AM,08/Apr/26 12:00 AM,,yes,,,,,,,,,,,08/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,14/Apr/26 12:00 AM,,,,,,,,,14/Apr/26 12:00 AM,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1obfw:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,13/Apr/26 12:00 AM,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":450033,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
Computed applicabilities,SST1-38,450032,Task,To Do,SST1,SLM System team,software,YMEZEPKE,,,Yellow,,,YMEZEPKE,YMEZEPKE,08/Apr/26 4:13 PM,08/Apr/26 4:21 PM,26/Jun/26 10:03 AM,,,,,,,"L'applicabilité calculée était prise en compte par VVATT.

Mais SimBa en a besoin en interne. Ils ont donc entrepris de le calculer de leur côté. Ce calcul doit ensuite être abandonné par VVATT. Par contre, VVATT doit parser cette information",,,,,,,,,,,,,,,,,SST1-39,,,,08/Apr/26 12:00 AM,08/Apr/26 12:00 AM,,yes,,,,,,,,,,,08/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,10/Apr/26 12:00 AM,,,,,,,,,10/Apr/26 12:00 AM,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1obfo:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,08/Apr/26 12:00 AM,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":450032,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
Symbols for Rule 9 of Integrity Checks,SST1-27,449799,Task,To Do,SST1,SLM System team,software,YMEZEPKE,,,Yellow,,,YMEZEPKE,YMEZEPKE,07/Apr/26 11:20 AM,08/Apr/26 4:20 PM,26/Jun/26 10:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Apr/26 12:00 AM,07/Apr/26 12:00 AM,,yes,,,,,,,,,,,07/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,10/Apr/26 12:00 AM,,,,,,,,,10/Apr/26 12:00 AM,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1o9xo:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,03/Apr/26 12:00 AM,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":449799,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
2026.2.0 Initial RC ,SST1-15,449715,Task,To Do,SST1,SLM System team,software,YMEZEPKE,,,Yellow,,,YMEZEPKE,YMEZEPKE,07/Apr/26 1:03 AM,08/Apr/26 4:15 PM,26/Jun/26 10:03 AM,,,,,,#milestone,,,,,0,0,,0%,0,0,,,,,,,,,,,,07/Apr/26 12:00 AM,07/Apr/26 12:00 AM,,yes,,,,,,,,,,,07/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,13/Apr/26 12:00 AM,,,,,,,,,13/Apr/26 12:00 AM,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1o9b0:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,13/Apr/26 12:00 AM,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":449715,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
SimBa 2026.2.0,SST1-16,449716,Task,To Do,SST1,SLM System team,software,YMEZEPKE,,,Yellow,,,YMEZEPKE,YMEZEPKE,07/Apr/26 1:07 AM,08/Apr/26 4:15 PM,26/Jun/26 10:03 AM,,,,,,#milestone,,,,,0,0,,0%,0,0,,,,,,SST1-2,,,,,,07/Apr/26 12:00 AM,07/Apr/26 12:00 AM,,yes,,,,,,,,,,,07/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,19/May/26 12:00 AM,,,,,,,,,19/May/26 12:00 AM,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1o9b8:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,19/May/26 12:00 AM,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":449716,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
HLS Inputs,SST1-35,449833,Task,In Review,SST1,SLM System team,software,YMEZEPKE,,,Yellow,,,YMEZEPKE,YMEZEPKE,07/Apr/26 2:37 PM,08/Apr/26 4:15 PM,26/Jun/26 10:03 AM,,,,,,,* 7/04/26: Risks of HLS inputs not ready by end of sprint (planned for April 10),,,,,,,,,,,,,,,,,,,,,07/Apr/26 12:00 AM,07/Apr/26 12:00 AM,,yes,,,,,,,,,,,07/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,13/Apr/26 12:00 AM,,,,,,,,,13/Apr/26 12:00 AM,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1oa8c:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,08/Apr/26 12:00 AM,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":449833,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
SquiD-NG 7.5.2,SST1-37,450030,Task,To Do,SST1,SLM System team,software,YMEZEPKE,,,Yellow,,,YMEZEPKE,YMEZEPKE,08/Apr/26 4:07 PM,08/Apr/26 4:07 PM,26/Jun/26 10:03 AM,,,,,,#milestone,,,,,0,0,,0%,0,0,,,SST1-36,,,,,,,,,08/Apr/26 12:00 AM,08/Apr/26 12:00 AM,,yes,,,,,,,,,,,08/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,10/Apr/26 12:00 AM,,,,,,,,,10/Apr/26 12:00 AM,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1obf8:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,10/Apr/26 12:00 AM,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":450030,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
Solve Issues,SST1-36,450028,Task,To Do,SST1,SLM System team,software,YMEZEPKE,,,Yellow,,,YMEZEPKE,YMEZEPKE,08/Apr/26 4:06 PM,08/Apr/26 4:07 PM,26/Jun/26 10:03 AM,,,,,,,For standalone uses. Do not impact the VVM,,,,,,,,,,,,,,,SST1-37,,,,,,08/Apr/26 12:00 AM,08/Apr/26 12:00 AM,,yes,,,,,,,,,,,08/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,10/Apr/26 12:00 AM,,,,,,,,,10/Apr/26 12:00 AM,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1obes:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,09/Apr/26 12:00 AM,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":450028,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
BR26.3,SST1-3,449433,Task,To Do,SST1,SLM System team,software,YMEZEPKE,,,Yellow,,,YMEZEPKE,YMEZEPKE,03/Apr/26 12:32 PM,07/Apr/26 1:30 PM,26/Jun/26 10:03 AM,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,03/Apr/26 12:00 AM,03/Apr/26 12:00 AM,,yes,,,,,,,,,,,03/Apr/26 12:00 AM,,,,,,To Do,,,,,,,,,,,,To be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,"IVV,Status
",,,,,,,,,Validated,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No script,,,To Do,,"0|i1o8sk:",To be assessed,,,,,,,,,,,,,,,,,,,Minor,,,,,,,,,,,,,,,0.0,,,,,,,"{""issueId"":449433,""testStatuses"":[]}",,,,,,,,,,,,,,,,,No script,,,,,,"ID,MVV,Creation Rational,Priority,Applicability,Computer,Partition,Function,Disable,Justification
,,,,,,,,,
","ID,Applicability,MOC,Priority,Objective,Justification,Disable
",,,,,,,
